Title,Image URL,Price,Short Description,Stock Status,Stock Quantity,SKU,Categories,Tags,Weight,Dimensions,Reviews
Jynx,https://scrapeme.live/wp-content/uploads/2018/08/124.png,£138.00,"Jynx walks rhythmically, swaying and shaking its hips as if it were dancing. Its motions are so bouncingly alluring, people seeing it are compelled to shake their hips without giving any thought to what they are doing.",In stock,197,1615,"Categories: Human Shape, Pokemon","Tags: Human Shape, jynx, Oblivious",89.5 kg,4 x 4 x 4 cm,"Reviews
There are no reviews yet.




Be the first to review “Jynx” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Electabuzz,https://scrapeme.live/wp-content/uploads/2018/08/125.png,£125.00,"When a storm arrives, gangs of this Pokémon compete with each other to scale heights that are likely to be stricken by lightning bolts. Some towns use Electabuzz in place of lightning rods.",In stock,63,7699,"Categories: Electric, Pokemon","Tags: electabuzz, Electric, Static",66.1 kg,3 x 3 x 3 cm,"Reviews
There are no reviews yet.




Be the first to review “Electabuzz” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Magmar,https://scrapeme.live/wp-content/uploads/2018/08/126.png,£130.00,"In battle, Magmar blows out intensely hot flames from all over its body to intimidate its opponent. This Pokémon’s fiery bursts create heat waves that ignite grass and trees in its surroundings.",In stock,16,8655,"Categories: Pokemon, Spitfire","Tags: Flame Body, magmar, Spitfire",98.1 kg,4 x 4 x 4 cm,"Reviews
There are no reviews yet.




Be the first to review “Magmar” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Pinsir,https://scrapeme.live/wp-content/uploads/2018/08/127.png,£141.00,"Pinsir has a pair of massive horns. Protruding from the surface of these horns are thorns. These thorns are driven deeply into the foe’s body when the pincer closes, making it tough for the foe to escape.",In stock,29,2091,"Categories: Pokemon, Stag Beetle","Tags: Hyper Cutter, pinsir, Stag Beetle",121.3 kg,4 x 4 x 4 cm,"Reviews
There are no reviews yet.




Be the first to review “Pinsir” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Tauros,https://scrapeme.live/wp-content/uploads/2018/08/128.png,£63.00,"This Pokémon is not satisfied unless it is rampaging at all times. If there is no opponent for Tauros to battle, it will charge at thick trees and knock them down to calm itself.",In stock,298,2149,"Categories: Pokemon, Wild Bull","Tags: Intimidate, tauros, Wild Bull",194.9 kg,4 x 4 x 4 cm,"Reviews
There are no reviews yet.




Be the first to review “Tauros” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Magikarp,https://scrapeme.live/wp-content/uploads/2018/08/129.png,£43.00,"Magikarp is virtually useless in battle as it can only splash around. As a result, it is considered to be weak. However, it is actually a very hardy Pokémon that can survive in any body of water no matter how polluted it is.",In stock,126,6706,"Categories: Fish, Pokemon","Tags: Fish, magikarp, Swift Swim",22 kg,2 x 2 x 2 cm,"Reviews
There are no reviews yet.




Be the first to review “Magikarp” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Gyarados,https://scrapeme.live/wp-content/uploads/2018/08/130.png,£79.00,"Once Gyarados goes on a rampage, its ferociously violent blood doesn’t calm until it has burned everything down. There are records of this Pokémon’s rampages lasting a whole month.",In stock,100,9629,"Categories: Atrocious, Pokemon","Tags: Atrocious, gyarados, Intimidate",518.1 kg,21 x 21 x 21 cm,"Reviews
There are no reviews yet.




Be the first to review “Gyarados” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Lapras,https://scrapeme.live/wp-content/uploads/2018/08/131.png,£172.00,"People have driven Lapras almost to the point of extinction. In the evenings, this Pokémon is said to sing plaintively as it seeks what few others of its kind still remain.",In stock,89,7759,"Categories: Pokemon, Transport","Tags: lapras, Transport, Water Absorb",485 kg,8 x 8 x 8 cm,"Reviews
There are no reviews yet.




Be the first to review “Lapras” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Ditto,https://scrapeme.live/wp-content/uploads/2018/08/132.png,£75.00,"Ditto rearranges its cell structure to transform itself into other shapes. However, if it tries to transform itself into something by relying on its memory, this Pokémon manages to get details wrong.",In stock,177,5061,"Categories: Pokemon, Transform","Tags: ditto, Limber, Transform",8.8 kg,1 x 1 x 1 cm,"Reviews
There are no reviews yet.




Be the first to review “Ditto” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Eevee,https://scrapeme.live/wp-content/uploads/2018/08/133.png,£112.00,Eevee has an unstable genetic makeup that suddenly mutates due to the environment in which it lives. Radiation from various stones causes this Pokémon to evolve.,In stock,234,3593,"Categories: Evolution, Pokemon","Tags: eevee, Evolution, Run Away",14.3 kg,1 x 1 x 1 cm,"Reviews
There are no reviews yet.




Be the first to review “Eevee” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Vaporeon,https://scrapeme.live/wp-content/uploads/2018/08/134.png,£147.00,Vaporeon underwent a spontaneous mutation and grew fins and gills that allow it to live underwater. This Pokémon has the ability to freely control water.,In stock,226,5437,"Categories: Bubble Jet, Pokemon","Tags: Bubble Jet, vaporeon, Water Absorb",63.9 kg,3 x 3 x 3 cm,"Reviews
There are no reviews yet.




Be the first to review “Vaporeon” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Jolteon,https://scrapeme.live/wp-content/uploads/2018/08/135.png,£158.00,"Jolteon’s cells generate a low level of electricity. This power is amplified by the static electricity of its fur, enabling the Pokémon to drop thunderbolts. The bristling fur is made of electrically charged needles.",In stock,37,4119,"Categories: Lightning, Pokemon","Tags: jolteon, Lightning, Volt Absorb",54 kg,2 x 2 x 2 cm,"Reviews
There are no reviews yet.




Be the first to review “Jolteon” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Flareon,https://scrapeme.live/wp-content/uploads/2018/08/136.png,£34.00,"Flareon’s fluffy fur has a functional purpose—it releases heat into the air so that its body does not get excessively hot. This Pokémon’s body temperature can rise to a maximum of 1,650 degrees Fahrenheit.",In stock,142,8149,"Categories: Flame, Pokemon","Tags: Flame, flareon, Flash Fire",55.1 kg,2 x 2 x 2 cm,"Reviews
There are no reviews yet.




Be the first to review “Flareon” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Porygon,https://scrapeme.live/wp-content/uploads/2018/08/137.png,£178.00,Porygon is capable of reverting itself entirely back to program data and entering cyberspace. This Pokémon is copy protected so it cannot be duplicated by copying.,In stock,156,7940,"Categories: Pokemon, Virtual","Tags: porygon, Trace, Virtual",80.5 kg,2 x 2 x 2 cm,"Reviews
There are no reviews yet.




Be the first to review “Porygon” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Omanyte,https://scrapeme.live/wp-content/uploads/2018/08/138.png,£162.00,"Omanyte is one of the ancient and long-since-extinct Pokémon that have been regenerated from fossils by people. If attacked by an enemy, it withdraws itself inside its hard shell.",In stock,13,4569,"Categories: Pokemon, Spiral","Tags: omanyte, Shell Armor, Spiral",16.5 kg,1 x 1 x 1 cm,"Reviews
There are no reviews yet.




Be the first to review “Omanyte” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Omastar,https://scrapeme.live/wp-content/uploads/2018/08/139.png,£61.00,"Omastar uses its tentacles to capture its prey. It is believed to have become extinct because its shell grew too large and heavy, causing its movements to become too slow and ponderous.",In stock,249,3283,"Categories: Pokemon, Spiral","Tags: omastar, Shell Armor, Spiral",77.2 kg,3 x 3 x 3 cm,"Reviews
There are no reviews yet.




Be the first to review “Omastar” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Kabuto,https://scrapeme.live/wp-content/uploads/2018/08/140.png,£79.00,"Kabuto is a Pokémon that has been regenerated from a fossil. However, in extremely rare cases, living examples have been discovered. The Pokémon has not changed at all for 300 million years.",In stock,187,9584,"Categories: Pokemon, Shellfish","Tags: kabuto, Shellfish, Swift Swim",25.4 kg,1 x 1 x 1 cm,"Reviews
There are no reviews yet.




Be the first to review “Kabuto” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Kabutops,https://scrapeme.live/wp-content/uploads/2018/08/141.png,£57.00,Kabutops swam underwater to hunt for its prey in ancient times. The Pokémon was apparently evolving from being a water dweller to living on land as evident from the beginnings of change in its gills and legs.,In stock,228,4736,"Categories: Pokemon, Shellfish","Tags: kabutops, Shellfish, Swift Swim",89.3 kg,4 x 4 x 4 cm,"Reviews
There are no reviews yet.




Be the first to review “Kabutops” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Aerodactyl,https://scrapeme.live/wp-content/uploads/2018/08/142.png,£56.00,Aerodactyl is a Pokémon from the age of dinosaurs. It was regenerated from genetic material extracted from amber. It is imagined to have been the king of the skies in ancient times.,In stock,257,1801,"Categories: Fossil, Pokemon","Tags: aerodactyl, Fossil, Rock Head",130.1 kg,5 x 5 x 5 cm,"Reviews
There are no reviews yet.




Be the first to review “Aerodactyl” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Snorlax,https://scrapeme.live/wp-content/uploads/2018/08/143.png,£134.00,Snorlax’s typical day consists of nothing more than eating and sleeping. It is such a docile Pokémon that there are children who use its expansive belly as a place to play.,In stock,260,9883,"Categories: Pokemon, Sleeping","Tags: Sleeping, snorlax, Thick Fat",1014.1 kg,6 x 6 x 6 cm,"Reviews
There are no reviews yet.




Be the first to review “Snorlax” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Articuno,https://scrapeme.live/wp-content/uploads/2018/08/144.png,£77.00,"Articuno is a legendary bird Pokémon that can control ice. The flapping of its wings chills the air. As a result, it is said that when this Pokémon flies, snow will fall.",In stock,101,6040,"Categories: Freeze, Pokemon","Tags: articuno, Freeze, Pressure",122.1 kg,5 x 5 x 5 cm,"Reviews
There are no reviews yet.




Be the first to review “Articuno” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Zapdos,https://scrapeme.live/wp-content/uploads/2018/08/145.png,£133.00,Zapdos is a legendary bird Pokémon that has the ability to control electricity. It usually lives in thunderclouds. The Pokémon gains power if it is stricken by lightning bolts.,In stock,265,7213,"Categories: Electric, Pokemon","Tags: Electric, Pressure, zapdos",116 kg,5 x 5 x 5 cm,"Reviews
There are no reviews yet.




Be the first to review “Zapdos” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Moltres,https://scrapeme.live/wp-content/uploads/2018/08/146.png,£178.00,"Moltres is a legendary bird Pokémon that has the ability to control fire. If this Pokémon is injured, it is said to dip its body in the molten magma of a volcano to burn and heal itself.",In stock,208,2571,"Categories: Flame, Pokemon","Tags: Flame, moltres, Pressure",132.3 kg,6 x 6 x 6 cm,"Reviews
There are no reviews yet.




Be the first to review “Moltres” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Dratini,https://scrapeme.live/wp-content/uploads/2018/08/147.png,£94.00,Dratini continually molts and sloughs off its old skin. It does so because the life energy within its body steadily builds to reach uncontrollable levels.,In stock,275,2799,"Categories: Dragon, Pokemon","Tags: Dragon, dratini, Shed Skin",7.3 kg,5 x 5 x 5 cm,"Reviews
There are no reviews yet.




Be the first to review “Dratini” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Dragonair,https://scrapeme.live/wp-content/uploads/2018/08/148.png,£57.00,Dragonair stores an enormous amount of energy inside its body. It is said to alter weather conditions in its vicinity by discharging energy from the crystals on its neck and tail.,In stock,119,5641,"Categories: Dragon, Pokemon","Tags: Dragon, dragonair, Shed Skin",36.4 kg,13 x 13 x 13 cm,"Reviews
There are no reviews yet.




Be the first to review “Dragonair” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Dragonite,https://scrapeme.live/wp-content/uploads/2018/08/149.png,£69.00,Dragonite is capable of circling the globe in just 16 hours. It is a kindhearted Pokémon that leads lost and foundering ships in a storm to the safety of land.,In stock,127,9175,"Categories: Dragon, Pokemon","Tags: Dragon, dragonite, Inner Focus",463 kg,7 x 7 x 7 cm,"Reviews
There are no reviews yet.




Be the first to review “Dragonite” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Mewtwo,https://scrapeme.live/wp-content/uploads/2018/08/150.png,£43.00,"Mewtwo is a Pokémon that was created by genetic manipulation. However, even though the scientific power of humans created this Pokémon’s body, they failed to endow Mewtwo with a compassionate heart.",In stock,78,4630,"Categories: Genetic, Pokemon","Tags: Genetic, mewtwo, Pressure",269 kg,6 x 6 x 6 cm,"Reviews
There are no reviews yet.




Be the first to review “Mewtwo” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Mew,https://scrapeme.live/wp-content/uploads/2018/08/151.png,£136.00,"Mew is said to possess the genetic composition of all Pokémon. It is capable of making itself invisible at will, so it entirely avoids notice even if it approaches people.",In stock,152,4382,"Categories: New Species, Pokemon","Tags: mew, New Species, Synchronize",8.8 kg,1 x 1 x 1 cm,"Reviews
There are no reviews yet.




Be the first to review “Mew” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Chikorita,https://scrapeme.live/wp-content/uploads/2018/08/152.png,£127.00,"In battle, Chikorita waves its leaf around to keep the foe at bay. However, a sweet fragrance also wafts from the leaf, becalming the battling Pokémon and creating a cozy, friendly atmosphere all around.",In stock,98,2657,"Categories: Leaf, Pokemon","Tags: chikorita, Leaf, Overgrow",14.1 kg,2 x 2 x 2 cm,"Reviews
There are no reviews yet.




Be the first to review “Chikorita” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Bayleef,https://scrapeme.live/wp-content/uploads/2018/08/153.png,£44.00,Bayleef’s neck is ringed by curled-up leaves. Inside each tubular leaf is a small shoot of a tree. The fragrance of this shoot makes people peppy.,In stock,299,1272,"Categories: Leaf, Pokemon","Tags: bayleef, Leaf, Overgrow",34.8 kg,3 x 3 x 3 cm,"Reviews
There are no reviews yet.




Be the first to review “Bayleef” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Meganium,https://scrapeme.live/wp-content/uploads/2018/08/154.png,£163.00,"The fragrance of Meganium’s flower soothes and calms emotions. In battle, this Pokémon gives off more of its becalming scent to blunt the foe’s fighting spirit.",In stock,71,5778,"Categories: Herb, Pokemon","Tags: Herb, meganium, Overgrow",221.6 kg,5 x 5 x 5 cm,"Reviews
There are no reviews yet.




Be the first to review “Meganium” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Cyndaquil,https://scrapeme.live/wp-content/uploads/2018/08/155.png,£154.00,"Cyndaquil protects itself by flaring up the flames on its back. The flames are vigorous if the Pokémon is angry. However, if it is tired, the flames splutter fitfully with incomplete combustion.",In stock,184,3987,"Categories: Fire Mouse, Pokemon","Tags: Blaze, cyndaquil, Fire Mouse",17.4 kg,1 x 1 x 1 cm,"Reviews
There are no reviews yet.




Be the first to review “Cyndaquil” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Quilava,https://scrapeme.live/wp-content/uploads/2018/08/156.png,£85.00,Quilava keeps its foes at bay with the intensity of its flames and gusts of superheated air. This Pokémon applies its outstanding nimbleness to dodge attacks even while scorching the foe with flames.,In stock,263,6999,"Categories: Pokemon, Volcano","Tags: Blaze, quilava, Volcano",41.9 kg,2 x 2 x 2 cm,"Reviews
There are no reviews yet.




Be the first to review “Quilava” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Typhlosion,https://scrapeme.live/wp-content/uploads/2018/08/157.png,£191.00,Typhlosion obscures itself behind a shimmering heat haze that it creates using its intensely hot flames. This Pokémon creates blazing explosive blasts that burn everything to cinders.,In stock,118,5228,"Categories: Pokemon, Volcano","Tags: Blaze, typhlosion, Volcano",175.3 kg,5 x 5 x 5 cm,"Reviews
There are no reviews yet.




Be the first to review “Typhlosion” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Totodile,https://scrapeme.live/wp-content/uploads/2018/08/158.png,£190.00,"Despite the smallness of its body, Totodile’s jaws are very powerful. While the Pokémon may think it is just playfully nipping, its bite has enough power to cause serious injury.",In stock,285,4342,"Categories: Big Jaw, Pokemon","Tags: Big Jaw, Torrent, totodile",20.9 kg,2 x 2 x 2 cm,"Reviews
There are no reviews yet.




Be the first to review “Totodile” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Croconaw,https://scrapeme.live/wp-content/uploads/2018/08/159.png,£175.00,"Once Croconaw has clamped its jaws on its foe, it will absolutely not let go. Because the tips of its fangs are forked back like barbed fishhooks, they become impossible to remove when they have sunk in.",In stock,255,9299,"Categories: Big Jaw, Pokemon","Tags: Big Jaw, croconaw, Torrent",55.1 kg,3 x 3 x 3 cm,"Reviews
There are no reviews yet.




Be the first to review “Croconaw” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Feraligatr,https://scrapeme.live/wp-content/uploads/2018/08/160.png,£183.00,"Feraligatr intimidates its foes by opening its huge mouth. In battle, it will kick the ground hard with its thick and powerful hind legs to charge at the foe at an incredible speed.",In stock,175,9344,"Categories: Big Jaw, Pokemon","Tags: Big Jaw, feraligatr, Torrent",195.8 kg,7 x 7 x 7 cm,"Reviews
There are no reviews yet.




Be the first to review “Feraligatr” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Sentret,https://scrapeme.live/wp-content/uploads/2018/08/161.png,£48.00,"When Sentret sleeps, it does so while another stands guard. The sentry wakes the others at the first sign of danger. When this Pokémon becomes separated from its pack, it becomes incapable of sleep due to fear.",In stock,83,2687,"Categories: Pokemon, Scout","Tags: Keen Eye, Scout, sentret",13.2 kg,2 x 2 x 2 cm,"Reviews
There are no reviews yet.




Be the first to review “Sentret” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Furret,https://scrapeme.live/wp-content/uploads/2018/08/162.png,£154.00,"Furret has a very slim build. When under attack, it can slickly squirm through narrow spaces and get away. In spite of its short limbs, this Pokémon is very nimble and fleet.",In stock,85,4876,"Categories: Long Body, Pokemon","Tags: furret, Keen Eye, Long Body",71.6 kg,5 x 5 x 5 cm,"Reviews
There are no reviews yet.




Be the first to review “Furret” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Hoothoot,https://scrapeme.live/wp-content/uploads/2018/08/163.png,£48.00,"Hoothoot has an internal organ that senses and tracks the earth’s rotation. Using this special organ, this Pokémon begins hooting at precisely the same time every day.",In stock,204,4691,"Categories: Owl, Pokemon","Tags: hoothoot, Keen Eye, Owl",46.7 kg,2 x 2 x 2 cm,"Reviews
There are no reviews yet.




Be the first to review “Hoothoot” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Noctowl,https://scrapeme.live/wp-content/uploads/2018/08/164.png,£170.00,"Noctowl never fails at catching prey in darkness. This Pokémon owes its success to its superior vision that allows it to see in minimal light, and to its soft, supple wings that make no sound in flight.",In stock,10,9939,"Categories: Owl, Pokemon","Tags: Keen Eye, noctowl, Owl",89.9 kg,5 x 5 x 5 cm,"Reviews
There are no reviews yet.




Be the first to review “Noctowl” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Ledyba,https://scrapeme.live/wp-content/uploads/2018/08/165.png,£98.00,Ledyba secretes an aromatic fluid from where its legs join its body. This fluid is used for communicating with others. This Pokémon conveys its feelings to others by altering the fluid’s scent.,In stock,83,3874,"Categories: Five Star, Pokemon","Tags: Five Star, ledyba, Swarm",23.8 kg,3 x 3 x 3 cm,"Reviews
There are no reviews yet.




Be the first to review “Ledyba” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Ledian,https://scrapeme.live/wp-content/uploads/2018/08/166.png,£136.00,"It is said that in lands with clean air, where the stars fill the sky, there live Ledian in countless numbers. There is a good reason for this—the Pokémon uses the light of the stars as its energy.",In stock,65,1806,"Categories: Five Star, Pokemon","Tags: Five Star, ledian, Swarm",78.5 kg,4 x 4 x 4 cm,"Reviews
There are no reviews yet.




Be the first to review “Ledian” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Spinarak,https://scrapeme.live/wp-content/uploads/2018/08/167.png,£199.00,The web spun by Spinarak can be considered its second nervous system. It is said that this Pokémon can determine what kind of prey is touching its web just by the tiny vibrations it feels through the web’s strands.,In stock,136,4388,"Categories: Pokemon, String Spit","Tags: spinarak, String Spit, Swarm",18.7 kg,1 x 1 x 1 cm,"Reviews
There are no reviews yet.




Be the first to review “Spinarak” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Ariados,https://scrapeme.live/wp-content/uploads/2018/08/168.png,£85.00,Ariados’s feet are tipped with tiny hooked claws that enable it to scuttle on ceilings and vertical walls. This Pokémon constricts the foe with thin and strong silk webbing.,In stock,50,9759,"Categories: Long Leg, Pokemon","Tags: ariados, Long Leg, Swarm",73.9 kg,3 x 3 x 3 cm,"Reviews
There are no reviews yet.




Be the first to review “Ariados” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Crobat,https://scrapeme.live/wp-content/uploads/2018/08/169.png,£195.00,Crobat sneaks up on its intended prey using wings that barely make a sound. This Pokémon rests by hanging on a tree branch with its rear legs that serve as wings.,In stock,245,6120,"Categories: Bat, Pokemon","Tags: Bat, crobat, Inner Focus",165.3 kg,5 x 5 x 5 cm,"Reviews
There are no reviews yet.




Be the first to review “Crobat” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Chinchou,https://scrapeme.live/wp-content/uploads/2018/08/170.png,£59.00,"Chinchou’s two antennas are filled with cells that generate strong electricity. This Pokémon’s cells create so much electrical power, it even makes itself tingle slightly.",In stock,130,2651,"Categories: Angler, Pokemon","Tags: Angler, chinchou, Illuminate",26.5 kg,1 x 1 x 1 cm,"Reviews
There are no reviews yet.




Be the first to review “Chinchou” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Lanturn,https://scrapeme.live/wp-content/uploads/2018/08/171.png,£131.00,"Lanturn is known to emit light. If you peer down into the dark sea from a ship at night, you can sometimes see this Pokémon’s light rising from the depths where it swims. It gives the sea an appearance of a starlit night.",In stock,218,7579,"Categories: Light, Pokemon","Tags: Illuminate, lanturn, Light",49.6 kg,3 x 3 x 3 cm,"Reviews
There are no reviews yet.




Be the first to review “Lanturn” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Pichu,https://scrapeme.live/wp-content/uploads/2018/08/172.png,£193.00,"When Pichu plays with others, it may short out electricity with another Pichu, creating a shower of sparks. In that event, this Pokémon will begin crying, startled by the flash of sparks.",In stock,64,4987,"Categories: Pokemon, Tiny Mouse","Tags: pichu, Static, Tiny Mouse",4.4 kg,1 x 1 x 1 cm,"Reviews
There are no reviews yet.




Be the first to review “Pichu” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Cleffa,https://scrapeme.live/wp-content/uploads/2018/08/173.png,£107.00,"On nights with many shooting stars, Cleffa can be seen dancing in a ring. They dance through the night and stop only at the break of day, when these Pokémon quench their thirst with the morning dew.",In stock,187,2794,"Categories: Pokemon, Star Shape","Tags: cleffa, Cute Charm, Star Shape",6.6 kg,1 x 1 x 1 cm,"Reviews
There are no reviews yet.




Be the first to review “Cleffa” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Igglybuff,https://scrapeme.live/wp-content/uploads/2018/08/174.png,£189.00,Igglybuff has a soft and plushy body that feels very much like a marshmallow. From this body wafts a gently sweet fragrance that soothes and calms the emotions of its foes.,In stock,170,2662,"Categories: Balloon, Pokemon","Tags: Balloon, Cute Charm, igglybuff",2.2 kg,1 x 1 x 1 cm,"Reviews
There are no reviews yet.




Be the first to review “Igglybuff” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
